song_idx,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
47,0XjBGhw51yUMQMZ8ftgJdr,Ninjasister,Rain On Me,Rain On Me,36,147529,False,0.62,0.281,11,-11.054,1,0.0566,0.807,0.938,0.116,0.238,170.034,4,study
48,36dRGWDdBOlsM57DqOPjSf,Joris Delacroix,Night Visions,Epoque,43,419640,False,0.743,0.722,7,-10.911,1,0.0538,0.226,0.749,0.0803,0.0366,124.992,4,minimal-techno
49,7K8Lw8ZI3uL0iZoUvMwOoH,Tipe-X,Super Surprise,Ngga Tahu Diri,33,225533,False,0.546,0.946,9,-3.843,1,0.0511,0.0106,6.44e-05,0.0573,0.61,110.067,4,ska
50,3L3R5s3kaz3heUdPQijWtA,Tunai,Em Cartaz...,Frisson,41,245499,False,0.586,0.56,11,-9.962,1,0.028,0.575,0.000209,0.082,0.426,128.224,4,mpb
51,03QSxMkgvEpKwmZTp9Fe2e,Justnormal,Space Bouquet,Space Bouquet,26,186635,False,0.641,0.4,3,-6.74,0,0.0304,0.88,0.88,0.108,0.111,84.981,4,study
52,6uBhi9gBXWjanegOb2Phh0,Zedd;Alessia Cara,Stay,Stay,76,210090,False,0.69,0.622,5,-5.025,0,0.0622,0.253,0.0,0.116,0.544,102.04,4,german
53,4XYlAe3KshyT9EGYpmFOen,Robert Haig Coxon,The Infinite... Essence of Life,Divine Secrets,23,643213,False,0.0718,0.019,0,-25.828,1,0.0429,0.95,0.943,0.191,0.0359,68.588,5,new-age
54,3f3HfaJfzYK4SzsVhQnLZO,Electric Callboy,TEKKNO,Parasite,62,183000,False,0.478,0.916,1,-7.505,1,0.0933,5.63e-05,0.00258,0.437,0.519,154.937,4,metalcore
55,3QZ5QFl2urRYAG9R9kqeex,Octave One,Blackstage Re-Works,Working Night Remix,7,400293,False,0.901,0.793,9,-7.687,0,0.0779,0.00166,0.639,0.107,0.544,135.396,4,detroit-techno
56,6kCMI0NPb6EXKcWZVZm8Kh,Hail The Sun,Elephantitis - EP,Dead Messages,32,239160,True,0.27,0.866,11,-6.132,0,0.085,0.000408,3.31e-05,0.365,0.108,148.938,4,hardcore
57,7B8i097AlAcwxNQRx4ygd0,Circa Survive,Descensus,Child of the Desert,32,290453,False,0.373,0.832,0,-2.795,1,0.0409,2.13e-05,0.0565,0.088,0.375,195.091,5,hardcore
58,77o50kSULx7oqSTE2afaAn,Albin Johnsén;Joanné Nugas,UPP,UPP,37,193043,True,0.693,0.514,7,-8.533,1,0.0836,0.357,0.0,0.109,0.228,115.111,4,swedish
59,0cZPaB4GUe0mfx1KXr6FBR,Don Omar,Perreo en Halloween,Guaya Guaya,3,194013,False,0.787,0.872,9,-2.117,1,0.143,0.0067,0.000193,0.136,0.696,92.025,4,latin
60,1L6yEgyroIBQ5dpJRyDs13,Alcest,Spiritual Instinct,Le miroir,38,331048,False,0.237,0.562,3,-11.456,0,0.0285,0.0915,0.815,0.121,0.14,89.009,3,black-metal
61,41Dba5ZS2F8HXjTNUumCbK,my little airport,I ALSO DON'T KNOW (Live),K同學 - Live,30,176911,False,0.563,0.408,8,-11.98,0,0.0419,0.716,1.61e-06,0.21,0.645,79.31,4,cantopop
62,05kCj9F8WPIzDg4O7tioj7,Above & Beyond;M.O.S.,10 Years of Group Therapy (Part 2),Prelude - M.O.S. Extended Mix,23,463616,False,0.686,0.73,11,-7.069,0,0.0438,0.00117,0.911,0.0204,0.341,122.0,4,trance
63,3xwTmeS0swuFXpyEoEUjNr,Tinariwen,Afropop 2022,Cler Achel,0,267533,False,0.685,0.797,2,-5.372,1,0.0558,0.506,0.00935,0.069,0.926,98.612,4,guitar
64,5u4s1yOwdcd7TX8bOMHR6T,Infraction;Jinaction,Mad At Chu,Mad At Chu,31,180000,False,0.742,0.885,5,-3.635,0,0.0653,0.00448,0.00233,0.0858,0.47,99.992,4,club
65,7ID9hY0L3R4GKtvUThHa0q,Indigo Pool;Mushroom People,Broken Waves,Broken Waves,62,146351,False,0.638,0.496,10,-7.304,1,0.0444,0.0952,0.0266,0.125,0.337,105.02,4,french
66,2ud2Aj8dHAcyKZ73g5oEYB,Höhner,Da Simmer Dabei! Die Grössten Partyhits,"Viva Colonia (Da simmer dabei, dat is prima!)",25,153213,False,0.603,0.877,7,-4.367,1,0.0318,0.0309,0.0,0.441,0.95,128.061,4,party
67,4FmtYL4GujPkEZEPct6PIG,Os Barões Da Pisadinha,Batom de Ouro,Vaqueiro da Zona Rural,41,138893,False,0.726,0.826,5,-6.073,1,0.0495,0.581,2.65e-06,0.119,0.962,172.031,4,forro
68,1LZQ6dOJVz5aK6oTlzCGcN,George Jones,George Jones and Tammy Wynette - 16 Biggest Hits,The Ceremony,14,185133,False,0.359,0.159,6,-17.393,1,0.047,0.843,0.00169,0.148,0.27,81.278,3,honky-tonk
69,3tyEQOACloIoX0jbM8YWx2,Papon,Bollywood Unplugged,Jiyein Kyun,44,343371,False,0.551,0.586,2,-6.706,1,0.0447,0.686,0.0,0.477,0.16,143.65,4,folk
70,7Kaw17qTEqmJU5j5rjuQ2M,Muck Sticky,Dang!,I.H.T.B.T.O.T.T.Y.I.D.F.Y.M.,31,199826,True,0.899,0.759,7,-6.644,0,0.283,0.512,1.34e-06,0.0721,0.822,103.046,4,comedy
71,5OsKqfRR6OuGGaMcKPG1ti,Porter Robinson;Imaginary Cities,Worlds,Hear The Bells,44,286880,False,0.319,0.64,0,-3.872,1,0.032,0.424,2.63e-06,0.294,0.0805,140.054,4,dubstep
72,6GSgikgrDSGtFPf0HwPi2X,Percy Sledge,"Music To Park By ""20 Great Romantic Hits""",When A Man Loves A Woman,0,174400,False,0.404,0.272,1,-11.765,1,0.0286,0.264,0.0,0.0528,0.326,97.941,3,soul
73,4iSWQ5Eadn5tZvvG9XNzYN,Charly Black,You're Perfect,You're Perfect,57,196973,False,0.817,0.855,7,-3.282,0,0.244,0.318,0.0,0.0517,0.783,104.909,4,j-dance
74,02shCNmb6IvgB5jLqKjtkK,Vicetone;Cozi Zuehlsdorff,Nevada,Nevada,71,208561,False,0.605,0.783,3,-4.271,1,0.0324,0.299,0.000175,0.133,0.105,124.015,4,electro
75,1o5PE9VNUd8EJtcYLA3QxP,Eason Chan;eason and the duo band,L.O.V.E.,漸漸,42,278000,False,0.646,0.401,3,-8.362,1,0.027,0.617,0.0,0.186,0.29,109.978,3,cantopop
76,2UlWfUwpJ0wbsh9Kol14e1,Hillsong Worship;Reuben Morgan,Hillsong Chapel: Forever Reign,Forever Reign,37,271680,False,0.389,0.641,11,-6.54,1,0.029,0.0167,0.0,0.366,0.248,82.821,4,world-music
77,7GzW0v56ydmnzcScC196Lz,李炳文,關不掉的聲音,昨夜的渡輪上,25,220840,False,0.554,0.345,6,-10.199,0,0.0268,0.749,0.0,0.11,0.168,107.625,4,mandopop
78,0hlh787aY52rcNvJHnE0Ml,Mike NRG;Weapon X,Lost in Dreams (Q-Base OST 2008),Lost In Dreams - Weapon X Remix,23,296360,False,0.547,0.867,6,-5.04,1,0.0326,0.0546,0.489,0.0735,0.253,163.002,4,hardstyle
79,0n00fbfEHwVidHj69QPgJZ,Alphaxone;protoU,Stardust,Sub Signal,11,308000,False,0.121,0.2,9,-29.007,0,0.0512,0.883,0.947,0.11,0.0381,148.135,3,iranian
80,6gt4crRNZ5Soua4BP52HXv,Spice,Needle Eye - Single,Needle Eye,47,185626,True,0.655,0.745,1,-4.683,0,0.453,0.68,0.0,0.104,0.773,95.596,4,j-dance
81,14909dF5EB4hvURmptzGSB,N i G H T S,Basic,Basic,49,210000,True,0.886,0.556,11,-8.318,1,0.063,0.00924,1.29e-05,0.371,0.354,105.046,4,soul
82,5xKGdGXYh3LRYTzwVZSb0u,Armin van Buuren;Lucky Lou,"Feel Again, Pt. 2",Pas de Bourree,1,141071,False,0.681,0.867,0,-5.729,0,0.0413,0.000611,0.134,0.0463,0.454,126.031,4,trance
83,2GxASwsYYNS8WPKri3dFSD,James Taylor,Christmas Playlist 2022,Auld Lang Syne,0,216146,False,0.51,0.262,2,-10.906,1,0.033,0.776,0.000137,0.113,0.234,119.736,3,singer-songwriter
84,6zMPcgwV7bp0xgRQctwDku,Drowning Pool,Halloween Metal Nights,Mute,1,200000,False,0.567,0.815,10,-4.668,1,0.0286,0.000277,0.104,0.0867,0.378,97.937,4,alternative
85,2EuC7F1AaycPufEETswIHF,Defis,Lek na życie (Radio Edit),Lek na życie - Radio Edit,32,209090,False,0.674,0.853,6,-3.072,1,0.267,0.00446,0.0,0.0981,0.846,132.107,4,disco
86,03X1SHRxnIb2jtjcQx54Et,Gost,Skull,Cursed,50,213159,False,0.583,0.929,1,-5.106,1,0.198,0.00115,0.873,0.164,0.285,118.0,4,club
87,7wW9scVNLYFLsmBb1yAUmS,Yo Yo Honey Singh,Blue Eyes,Blue Eyes,68,220943,False,0.77,0.51,10,-5.469,0,0.192,0.137,0.000106,0.0346,0.533,188.067,4,pop
88,3u0wGaA5YB5YDMofMhKYBy,Contra;Anıl Piyancı,YERDEN YÜKSEK,YERDEN YÜKSEK 2,40,177590,False,0.909,0.532,1,-7.823,1,0.16,0.0702,0.0,0.0898,0.275,99.009,4,turkish
89,45k1DOjv1jXPI68PSHzHiv,Alireza Mashayekhi;Marie-Thérèse Grisenti;Marc Vitantonio;Duo Grisenti Vitantonio,A. Mashayekhi - 5 Sonates Pour Violoncelle Et Piano,Sonate V Opus 236 Pour Violoncelle Et Piano - 1er Mouvement,0,238280,False,0.207,0.0603,9,-21.104,1,0.0521,0.932,0.617,0.105,0.0508,74.194,4,iranian
90,01xqHIwd7hQLROgelUQ6w2,Wiz Khalifa;Girl Talk,Pushin P - Top Rap,Big Daddy Wiz,0,131039,True,0.9,0.795,0,-5.056,1,0.073,0.107,0.00631,0.131,0.745,101.978,4,hip-hop
91,2hDMd2ZzowQAt4lAY3FqdB,Die Flippers,Liebe ist eine Rose,Im heißen Sand von Rhodos,29,199973,False,0.539,0.734,0,-8.522,1,0.0298,0.198,0.0,0.126,0.769,96.133,4,party
92,0JCwUrGPWJZsykuL68trRn,Tantrum Desire,Diversified,Nightmare,18,249801,False,0.538,0.98,0,-4.103,1,0.0572,0.00601,0.733,0.0706,0.2,175.039,4,drum-and-bass
93,5TzpCPx20n4hELdE9Vw6ZQ,Tim Atlas,Courtside,Courtside,69,146483,False,0.71,0.83,0,-7.208,1,0.03,0.0518,0.00523,0.353,0.936,129.02,4,soul
94,1aAcW69jxv3pp3I84oZGqP,Korol i Shut,Камнем по голове,Дурак и молния,55,114333,False,0.434,0.744,1,-9.449,0,0.194,0.111,0.0,0.342,0.668,178.879,3,ska
95,6I7BB2JD3uxXFfyAyez9ix,Barış Manço,1962-1963,Kızılcıklar Oldumu,29,135126,False,0.554,0.395,7,-9.782,1,0.0309,0.986,0.00333,0.104,0.814,144.646,4,psych-rock
96,4J5w43yUOPzxRg5je5tDG4,Beat Oven,Beat Soup,Zipbag Happiness,15,96000,False,0.752,0.313,10,-13.688,0,0.078,0.398,0.847,0.198,0.359,79.961,4,study
97,7AQyx6fF4zINWCuwVTGcx0,F.O.O.L,Revenger,Revenger,49,222562,False,0.595,0.879,2,-3.83,1,0.0347,0.00048,0.848,0.115,0.166,110.012,4,club
98,6VQW8Ye28Crwz90BIexsrF,Bersuit Vergarabat,Triste Hora,Vuelos,0,264586,False,0.423,0.493,2,-9.569,0,0.0374,0.1,5.95e-06,0.0797,0.522,167.708,4,alt-rock
99,7AffKWcNn5Zv7QFgScW2ox,Ikimonogakari,ハジマリノウタ,ホタルノヒカリ,63,244066,False,0.566,0.92,2,-1.896,0,0.0638,0.0674,0.0,0.314,0.562,147.007,4,j-pop
100,4OgwXdylh75fHfwUzJTUqg,Ilkay Sencan;Dynoro,Rockstar,Rockstar,70,212280,False,0.771,0.826,11,-3.978,1,0.0604,0.142,0.03,0.145,0.185,100.012,4,turkish
101,3VA8T3rNy5V24AXxNK5u9E,Sara Bareilles,Kaleidoscope Heart,King of Anything,61,207493,False,0.676,0.762,1,-4.172,1,0.0351,0.461,0.0,0.0574,0.81,119.003,4,acoustic
102,6HdmuUpOb8dBBwwPCPktCW,Kathryn Gallagher,I'll Get the Coffee,I'll Get the Coffee,50,199537,False,0.805,0.533,9,-5.658,1,0.0362,0.0276,0.0578,0.203,0.547,132.979,4,trance
103,4anqYZt4APNlFwQixpbdZR,Method Man;Redman,Blackout!,Da Rockwilder,69,136093,True,0.612,0.659,6,-6.995,0,0.406,0.0137,0.0,0.417,0.393,99.137,4,hardcore
104,6P2z6tZi1K8pyHXV1i0DnK,Nikolay Kopylov,У камина (Старинные Русские Романсы)/ At a Fireplace,Твои глаза зеленые ( Green Eyes),0,219880,False,0.359,0.448,2,-7.961,1,0.063,0.869,0.00046,0.317,0.49,76.832,4,romance
105,3u6PxWema1snbjLbFEyjkJ,Seafret,Atlantis,Atlantis - Extra Sped Up Version,78,190758,False,0.471,0.561,11,-7.068,0,0.03,0.0472,1.91e-06,0.122,0.215,99.808,4,folk
106,6vA1FwRxArrlYJTCW5sxHi,Central 3;Gabriela Maganete;Rapha Gonçalves,Para Ti Eu Vou (Ao Vivo),Para Ti Eu Vou - Ao Vivo,50,601544,False,0.4,0.601,0,-6.879,1,0.0356,0.458,0.0,0.173,0.236,133.766,4,brazil
107,724GJE6FqTdNKMARgAr6i7,Jack Harlow,New Arrivals,Dua Lipa,0,135053,True,0.833,0.652,11,-6.942,1,0.0762,0.00161,0.0985,0.106,0.405,158.022,4,hip-hop
108,2DQ1ITjI0YoLFzuADN1ZBW,G-Eazy;A$AP Rocky;Cardi B,The Beautiful & Damned,No Limit,71,245386,True,0.838,0.771,1,-3.791,1,0.244,0.0117,0.0,0.0853,0.405,175.957,4,indie
109,4s9Na0ywXodZXScgvXmJop,Seven Lions;SLANDER;Dabin;Dylan Matthew,First Time (feat. Dylan Matthew) [Acoustic],First Time (feat. Dylan Matthew) - Acoustic,46,251932,False,0.558,0.337,10,-8.414,1,0.0311,0.92,2.34e-06,0.159,0.397,143.784,4,dubstep
110,6ZefnGpfihXy0R2zA5w1Vf,Владимир Бунчиков,Мы в жизнь идем (1936 - 1958),Мы молодой рабочий класс,0,168111,False,0.416,0.668,2,-10.081,0,0.0461,0.953,1.53e-05,0.808,0.678,118.5,4,romance
111,4bsIPLFncVobiojWFcdGXk,The Red Chord,Clients,Black Santa,20,172066,False,0.28,0.92,2,-4.788,1,0.154,6.62e-05,9.31e-06,0.336,0.146,98.473,4,grindcore
112,63kOT4bBLlm1hzgPDfdHeC,Cajmere,Too Underground For The Main Stage,Percolator - Keep Movin' Mix,6,282750,False,0.905,0.961,11,-6.338,0,0.0899,0.000615,0.883,0.0797,0.743,125.85,4,chicago-house
113,03OjIsSVv8mwp58p3iK87o,mehro,SKY ON FIRE,the same,63,204457,False,0.583,0.504,5,-10.944,0,0.0292,0.86,0.177,0.103,0.312,144.043,4,songwriter
114,7iKZKK9gpHpOeW0Hwredfy,Felícia Rock;MHRAP,Chuva de Kunai,Chuva de Kunai,40,199632,False,0.85,0.665,10,-6.41,0,0.235,0.322,0.0,0.247,0.294,107.026,4,r-n-b
115,1OrT4UVkCnCDSO6sD2o3f2,Maggie Reilly,Echoes (Deluxe Version Remastered),Everytime We Touch - Remastered,35,244533,False,0.633,0.821,6,-3.294,0,0.0255,0.142,3.13e-05,0.0736,0.579,105.917,4,disco
116,5UIL4NRvIeD8eC0kF0uSM6,George Jones,Mr. Country and Western,Say It's Not You,14,144749,False,0.463,0.194,9,-14.316,1,0.0281,0.914,0.0698,0.118,0.43,91.639,3,honky-tonk
117,6W4WxXJUcd6A3XmzZrvO0y,Vander Lee,Vander Lee (Ao vivo),Esperando aviões - Ao vivo,38,270186,False,0.447,0.257,10,-10.679,1,0.0316,0.911,0.0,0.706,0.102,119.405,4,mpb
118,2kbxGCtWSV0f1ON720Bd4O,Anirudh Ravichander;Alisha Thomas,Maari (Original Motion Picture Soundtrack),Don'u Don'u Don'u - The Don's Romance,59,195709,False,0.776,0.82,8,-4.405,0,0.0414,0.287,0.000361,0.242,0.773,89.982,4,hip-hop
119,6x1CqgKyPiObhtVjZvL8mQ,DeadSquad,Tyranation,Lahir Mata Satir,33,236276,False,0.262,0.992,1,-3.979,1,0.265,0.000101,0.231,0.308,0.0492,94.527,3,death-metal
120,7JI6vO0L5woLjDcrCJvMVt,Cuco Sánchez;Dueto America,El Revolucionario,La Mujer Ladina,26,186073,False,0.428,0.246,3,-12.272,1,0.0459,0.759,0.0,0.222,0.382,90.679,4,guitar
121,6KV3ElDRM6wNEAHrzumFnX,Chronic Law,Plastic Smile,Plastic Smile,37,152200,False,0.802,0.483,2,-7.18,1,0.223,0.411,0.0,0.113,0.364,124.884,5,j-dance
